Image File,Used By (Local),Used By (API),Notes
c-color-16bit-gradient.tiff,CL-07,,16-bit TIFF gradient for banding detection
c-color-blackwhite.jpg,CL-08,,Black/white/gray patches
c-color-blackwhite.json,CL-08,,Patch coordinates and expected RGB values
c-color-checker-adobergb.jpg,CL-02,,Adobe RGB color checker
c-color-checker-adobergb.json,CL-02,,sRGB-converted target values
c-color-checker-prophoto.jpg,CL-03,,ProPhoto RGB color checker
c-color-checker-prophoto.json,CL-03,,sRGB-converted target values
c-color-checker-srgb.jpg,CL-01,,sRGB color checker
c-color-checker-srgb.json,CL-01,,Patch coordinates and expected RGB values
c-color-cmyk.jpg,CL-06,,CMYK color space test image
c-color-grayscale-ramp.jpg,CL-09,,11-step grayscale ramp
c-color-grayscale-ramp.json,CL-09,,Expected luminance values per step
c-color-icc-custom.jpg,CL-04,,Image with custom ICC profile
c-color-saturated-patches.jpg,CL-10,,R/G/B/C/M/Y saturated patches
c-color-saturated-patches.json,CL-10,,Expected RGB values per patch
c-color-untagged.jpg,CL-05,,Image with no ICC profile
c-Landscape_6-Rotated-90-CW-6000x4000.jpg,,"OR-09, OR-10, OR-11, OR-12","6000x4000 raw, orientation 6 (displays as 4000x6000 portrait)"
c-metadata-xmp-regions.jpg,,MA-07,"Contains XMP face region (""Test Face"" at center)"
c-poi-test.jpg,,(disabled POI tests),Subject in top-left quadrant
c-resolution-cap-test.jpg,,"RC-01, RC-02, RC-03, RC-04","6000x4000, 15.6MB high-res test image"
c-sizing-landscape.jpg,IR (all 26),"SZ-01, SZ-02, SZ-03, SZ-09, SZ-10, SZ-11","6000x4000, canonical landscape fixture"
c-sizing-panoramic.jpg,,SZ-06,"12000x2000, extreme landscape (6:1 ratio)"
c-sizing-portrait.jpg,,SZ-04,"4000x6000, portrait fixture"
c-sizing-small.jpg,,SZ-08,"400x300, tests upscaling prevention"
c-sizing-square.jpg,,SZ-05,"5000x5000, square fixture"
c-sizing-tall.jpg,,SZ-07,"2000x10000, extreme portrait (1:5 ratio)"
c-watermark-test.jpg,,"WM-01, WM-02, WM-03, WM-04, WM-05","254KB, watermark test fixture"
Landscape_1-Normal.jpg,,OR-01,Orientation tag 1 (normal)
Landscape_2-Mirrored-horizontal.jpg,,OR-02,Orientation tag 2
Landscape_3-Rotated-180.jpg,,OR-03,Orientation tag 3
Landscape_4-Mirrored-vertical.jpg,,OR-04,Orientation tag 4
Landscape_5-Mirrored-horizontal-rotated-270-CW.jpg,,OR-05,Orientation tag 5 (dimension swap)
Landscape_6-Rotated-90-CW.jpg,,OR-06,Orientation tag 6 (dimension swap)
Landscape_7-Mirrored-horizontal-rotated-90-CW.jpg,,OR-07,Orientation tag 7 (dimension swap)
Landscape_8-Rotated-270-CW.jpg,,OR-08,Orientation tag 8 (dimension swap)
metadata-iptc.jpg,,"MP-12, MP-13","IPTC caption and keywords (Lab, ball, dog, grass)"
metadata-rich.jpg,,"MP-01–11, MP-14, MA-01, MA-03–06, MD-01–09","Canon EOS 6D Mark II, full EXIF, GPS (Yosemite)"
metadata-stripped.jpg,,"MA-02, MD-09",No EXIF data at all
quality-detail.jpg,,"IQ-01, IQ-02, IQ-04","62MB high-detail JPEG"
quality-noisy.jpg,,IQ-09,"16MB high-ISO noisy image"
quality-reference.gif,,IQ-07,"22KB GIF for lossless archive test"
quality-reference.heic,,IQ-08,"2.3MB HEIC for conversion test"
quality-reference.png,,IQ-05,"132MB lossless PNG (16592x5352 panoramic)"
quality-resolution-chart.jpg,,IQ-10,"1.3MB fine-line resolution chart"
text-over-image.heic,,"TO-01, TO-02, TO-03, TO-04, TO-05","8.5MB portrait HEIC with text overlay"
