,ID,Test Name,Action,Description,Image(s) Used,,,,,,,,,,,,,,,,,,,
Color Accuracy,,,,,,,,,,,,,,,,,,,,,,,,
,CL-01,sRGB color checker patches match expected RGB values,Samples pixels at patch coordinates and computes CIE76 Delta-E against expected sRGB values (threshold ≤ 5),"Reads the sRGB color checker image and its companion JSON file containing known patch coordinates and expected RGB values. Samples the actual pixel color at each coordinate using sharp, then computes the CIE76 Delta-E perceptual color difference between expected and actual. Fails if any patch exceeds a Delta-E of 5, which would indicate a visible color shift.",c-color-checker-srgb.jpg + c-color-checker-srgb.json,,,,,,,,,,,,,,,,,,,
,CL-02,Adobe RGB color checker patches within Delta-E of sRGB targets,Same patch sampling with wider gamut tolerance (threshold ≤ 25) for Adobe RGB color space conversion,Reads the Adobe RGB color checker image (tagged with an Adobe RGB ICC profile) and its JSON file listing sRGB-converted target values. Samples pixels at each patch coordinate and computes Delta-E against the sRGB targets. Uses a wider threshold of 25 to account for gamut mapping differences when converting from Adobe RGB to sRGB.,c-color-checker-adobergb.jpg + c-color-checker-adobergb.json,,,,,,,,,,,,,,,,,,,
,CL-03,ProPhoto RGB color checker patches within Delta-E of sRGB targets,Same patch sampling with wider gamut tolerance (threshold ≤ 25) for ProPhoto RGB gamut,"Same approach as CL-02 but for ProPhoto RGB, the widest gamut commonly used by cameras. Reads the ProPhoto-tagged image and its JSON targets, samples pixels, and checks Delta-E ≤ 25. ProPhoto has a much larger gamut than sRGB so conversion errors are expected to be larger than Adobe RGB.",c-color-checker-prophoto.jpg + c-color-checker-prophoto.json,,,,,,,,,,,,,,,,,,,
,CL-04,Custom ICC profile image has embedded ICC profile,Checks that sharp detects an ICC profile in the image metadata,"Opens the custom ICC profile image with sharp and inspects its metadata to confirm an ICC profile buffer is present. This validates that the test fixture was correctly prepared with an embedded profile, which is a prerequisite for testing whether SmugMug preserves or converts custom profiles.",c-color-icc-custom.jpg,,,,,,,,,,,,,,,,,,,
,CL-05,Untagged image has no embedded ICC profile,Confirms no ICC profile is present in the untagged fixture,"Opens the untagged image with sharp and confirms the ICC metadata field is falsy (null or undefined). This is the negative control for CL-04 — it ensures the fixture genuinely has no profile, so any test comparing tagged vs untagged behavior has a clean baseline.",c-color-untagged.jpg,,,,,,,,,,,,,,,,,,,
,CL-06,CMYK image is detected as CMYK color space,Verifies metadata.space === cmyk,"Opens the CMYK test image with sharp and checks that metadata.space reports 'cmyk' and channels is 4. This confirms the fixture is a genuine CMYK file rather than an RGB file with a misleading name, which would invalidate any downstream CMYK conversion tests.",c-color-cmyk.jpg,,,,,,,,,,,,,,,,,,,
,CL-07,16-bit gradient has smooth tonal transitions,Measures mean adjacent pixel difference along the middle row (must be < 5),"Reads the 16-bit TIFF gradient image, converts it to 8-bit greyscale via sharp, then walks across the middle row measuring the absolute difference between each adjacent pixel pair. Computes the mean of all those differences. A smooth gradient should have a very low mean (< 5). High values indicate banding from bit-depth reduction or compression.",c-color-16bit-gradient.tiff,,,,,,,,,,,,,,,,,,,
,CL-08,Black and white point pixels match expected values,Samples black/white/midgray patches at known coordinates (Delta-E ≤ 5),"Reads the black/white test image and its JSON file specifying the exact coordinates of pure black, pure white, and mid-gray patches. Samples the actual RGB at each coordinate and computes Delta-E against the expected values. Fails if any patch exceeds Delta-E 5, catching level shifts where blacks get lifted or whites get crushed.",c-color-blackwhite.jpg + c-color-blackwhite.json,,,,,,,,,,,,,,,,,,,
,CL-09,Grayscale ramp steps match expected luminance values,Samples 11 grayscale steps and compares measured luminance to expected values (tolerance ≤ 15),"Reads the 11-step grayscale ramp image and its JSON file listing the expected luminance (0–255) at each step's coordinate. Samples the actual pixel, computes weighted luminance (0.299R + 0.587G + 0.114B), and compares against the expected value. Fails if any step differs by more than 15, which would indicate gamma curve errors or tone mapping issues.",c-color-grayscale-ramp.jpg + c-color-grayscale-ramp.json,,,,,,,,,,,,,,,,,,,
,CL-10,Saturated color patches match expected RGB values,Samples R/G/B/C/M/Y patches (Delta-E ≤ 5),"Reads the saturated patches image containing solid Red, Green, Blue, Cyan, Magenta, and Yellow blocks. Uses the companion JSON to locate each patch's center coordinate and expected RGB. Samples actual pixels and computes Delta-E. Fails if any patch exceeds 5, catching desaturation or hue rotation in the most visually obvious colors.",c-color-saturated-patches.jpg + c-color-saturated-patches.json,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Image Quality,,,,,,,,,,,,,,,,,,,,,,,,
,IQ-01,Candidate image is readable and has valid dimensions,Verifies width and height > 0,"Opens quality-detail.jpg with sharp and reads its metadata. Verifies both width and height are greater than zero. This is a fast smoke test that catches corrupted files, truncated downloads, or images with malformed headers before running more expensive quality checks.",quality-detail.jpg,,,,,,,,,,,,,,,,,,,
,IQ-02,Candidate SSIM vs baseline meets quality threshold,Downsamples both to 1600px wide and computes SSIM (must be ≥ 0.92),"Loads both the lossless PNG baseline and the JPEG candidate, downsamples each to 1600px wide using sharp (to keep the comparison fast on large images), converts to greyscale, then computes the Structural Similarity Index (SSIM) between them. SSIM ranges from 0 to 1 where 1 is identical. Fails if below 0.92, indicating visible structural degradation.",quality-reference.png + quality-detail.jpg,,,,,,,,,,,,,,,,,,,
,IQ-03,Candidate file size is non-trivial,File size > 10KB,"Reads quality-detail.jpg from disk and checks that the buffer length exceeds 10,000 bytes. Catches empty files, truncated writes, or placeholder stubs that might pass dimension checks but contain no real image data.",quality-detail.jpg,,,,,,,,,,,,,,,,,,,
,IQ-04,Baseline file size is non-trivial,File size > 10KB,"Same check as IQ-03 but for quality-reference.png. Ensures the lossless reference image itself isn't corrupted or empty, since it's used as the ground truth for SSIM and other comparisons.",quality-reference.png,,,,,,,,,,,,,,,,,,,
,IQ-05,Candidate is a valid JPEG,First 3 bytes are FF D8 FF,"Reads the first 3 bytes of quality-detail.jpg and verifies they are 0xFF 0xD8 0xFF, the JPEG magic number. Catches files that have a .jpg extension but aren't actually JPEG format (e.g., a renamed PNG or a file with a corrupted header).",quality-detail.jpg,,,,,,,,,,,,,,,,,,,
,IQ-06,Baseline is a valid PNG,First 4 bytes are 89 50 4E 47,"Reads the first 4 bytes of quality-reference.png and verifies they are 0x89 0x50 0x4E 0x47 (the PNG signature). Ensures the lossless baseline is genuinely PNG format, not a misnamed JPEG or corrupted file.",quality-reference.png,,,,,,,,,,,,,,,,,,,
,IQ-07,Candidate image sharpness meets minimum threshold,Laplacian variance > 50 (downsampled to 1600px),"Downsamples quality-detail.jpg to 1600px wide, converts to greyscale, then applies a 3x3 Laplacian edge-detection kernel to every interior pixel. Computes the variance of the Laplacian responses. Sharp images with fine detail produce high variance (> 50). Low variance indicates the image has been over-smoothed or had sharpening stripped.",quality-detail.jpg,,,,,,,,,,,,,,,,,,,
,IQ-08,quality-noisy.jpg has measurable sharpness variance,Laplacian variance > 50,Same Laplacian variance measurement as IQ-07 but on the high-ISO noisy image. Verifies the fixture has enough texture and grain to produce meaningful variance (> 50). A flat or blank image would break sharpness comparison tests that depend on this fixture.,quality-noisy.jpg,,,,,,,,,,,,,,,,,,,
,IQ-09,Candidate and baseline have matching aspect ratio,Aspect ratio difference ≤ 0.05,"Reads metadata for both quality-reference.png and quality-detail.jpg, computes width/height ratio for each, and checks the absolute difference is ≤ 0.05. Catches unexpected cropping or padding that might have been introduced during format conversion or resizing of the test fixtures.",quality-reference.png + quality-detail.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Image Render,,,,,,,,,,,,,,,,,,,,,,,,
,IR-Ti-render,Image renders and is visible at Ti 100x75,Loads image in browser at 100x75 viewport and verifies naturalWidth > 0,"Opens a new browser page at 100x75 viewport, injects the test image as a base64 data URL into an HTML page, waits for the image element to report complete with naturalWidth > 0. Verifies the browser can decode and display the image at the smallest SmugMug size tier.",c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-Ti-baseline,Screenshot matches baseline at Ti 100x75,Compares screenshot against saved baseline PNG,"Same setup as the render test, then takes a screenshot of the image element and compares it byte-for-byte against a saved baseline PNG in tests/baselines/. On first run (no baseline exists), saves the screenshot as the new baseline. Detects any pixel-level change in how the browser renders the image at this viewport size.",c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-Th-render,Image renders and is visible at Th 150x112,Loads image in browser at 150x112 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 150x112 viewport (Thumbnail tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-Th-baseline,Screenshot matches baseline at Th 150x112,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 150x112 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-S-render,Image renders and is visible at S 400x300,Loads image in browser at 400x300 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 400x300 viewport (Small tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-S-baseline,Screenshot matches baseline at S 400x300,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 400x300 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-M-render,Image renders and is visible at M 600x450,Loads image in browser at 600x450 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 600x450 viewport (Medium tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-M-baseline,Screenshot matches baseline at M 600x450,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 600x450 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-L-render,Image renders and is visible at L 800x600,Loads image in browser at 800x600 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 800x600 viewport (Large tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-L-baseline,Screenshot matches baseline at L 800x600,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 800x600 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-XL-render,Image renders and is visible at XL 1024x768,Loads image in browser at 1024x768 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 1024x768 viewport (XLarge tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-XL-baseline,Screenshot matches baseline at XL 1024x768,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 1024x768 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-X2-render,Image renders and is visible at X2 1280x960,Loads image in browser at 1280x960 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 1280x960 viewport (X2Large tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-X2-baseline,Screenshot matches baseline at X2 1280x960,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 1280x960 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-X3-render,Image renders and is visible at X3 1600x1200,Loads image in browser at 1600x1200 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 1600x1200 viewport (X3Large tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-X3-baseline,Screenshot matches baseline at X3 1600x1200,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 1600x1200 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-X4-render,Image renders and is visible at X4 1920x1440,Loads image in browser at 1920x1440 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 1920x1440 viewport (X4Large tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-X4-baseline,Screenshot matches baseline at X4 1920x1440,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 1920x1440 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-X5-render,Image renders and is visible at X5 2048x1536,Loads image in browser at 2048x1536 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 2048x1536 viewport (X5Large tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-X5-baseline,Screenshot matches baseline at X5 2048x1536,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 2048x1536 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-4K-render,Image renders and is visible at 4K 3840x2160,Loads image in browser at 3840x2160 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 3840x2160 viewport (4K tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-4K-baseline,Screenshot matches baseline at 4K 3840x2160,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 3840x2160 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-5K-render,Image renders and is visible at 5K 5120x2880,Loads image in browser at 5120x2880 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 5120x2880 viewport (5K tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-5K-baseline,Screenshot matches baseline at 5K 5120x2880,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 5120x2880 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-O-render,Image renders and is visible at O 1280x720,Loads image in browser at 1280x720 viewport and verifies naturalWidth > 0,Same as IR-Ti-render but at 1280x720 viewport (Original tier),c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,IR-O-baseline,Screenshot matches baseline at O 1280x720,Compares screenshot against saved baseline PNG,Same as IR-Ti-baseline but at 1280x720 viewport,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Image Sizing,,,,,,,,,,,,,,,,,,,,,,,,
,SZ-01,Landscape image has correct dimensions,Expected 6000x4000,Opens c-sizing-landscape.jpg with sharp and reads width and height from metadata. Asserts width is exactly 6000 and height is exactly 4000. Validates the canonical landscape fixture has the precise dimensions that other sizing and render tests depend on.,c-sizing-landscape.jpg,,,,,,,,,,,,,,,,,,,
,SZ-02,Portrait image has correct dimensions,Expected 4000x6000,"Opens c-sizing-portrait.jpg with sharp and asserts width is 4000 and height is 6000. Ensures the portrait fixture wasn't accidentally rotated, cropped, or resized, which would invalidate portrait-specific sizing tests.",c-sizing-portrait.jpg,,,,,,,,,,,,,,,,,,,
,SZ-03,Square image has equal width and height,Expected 5000x5000,"Opens c-sizing-square.jpg with sharp and asserts both width and height are 5000. Verifies the square fixture is genuinely square, since 1:1 aspect ratios are an edge case that can expose rounding bugs in resize logic.",c-sizing-square.jpg,,,,,,,,,,,,,,,,,,,
,SZ-04,Panoramic image has extreme landscape aspect ratio,"Expected 12000x2000, ratio > 5","Opens c-sizing-panoramic.jpg with sharp and asserts width is 12000, height is 2000, and the width/height ratio exceeds 5. Validates the extreme landscape fixture that tests whether thumbnail generation and crop logic handle very wide images without padding or cropping.",c-sizing-panoramic.jpg,,,,,,,,,,,,,,,,,,,
,SZ-05,Tall image has extreme portrait aspect ratio,"Expected 2000x10000, ratio > 4","Opens c-sizing-tall.jpg with sharp and asserts width is 2000, height is 10000, and the height/width ratio exceeds 4. Validates the extreme portrait fixture for testing height-dominant layout calculations and overflow handling.",c-sizing-tall.jpg,,,,,,,,,,,,,,,,,,,
,SZ-06,Small image has correct dimensions,Expected 400x300,"Opens c-sizing-small.jpg with sharp and asserts width is 400 and height is 300. This fixture is used for browser data URL tests and upscaling checks, so its exact dimensions must be known and stable.",c-sizing-small.jpg,,,,,,,,,,,,,,,,,,,
